Packet Number,Device Name,Device Type,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Human Command,Packet Type,Command String
1,Philips Lamp 3,Motion,Unknown,Unknown,,0,,
2,Unknown,Unknown,Unknown,Unknown,,0,Ack,
3,Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Unknown,0,Link Status (0x08),
4,Coordinator,Coordinator,Coordinator,Coordinator,Unknown,0,Link Status (0x08),
5,Power Plug 2,Socket,Power Plug 2,Socket,Unknown,0,Link Status (0x08),
6,Ledvance Smart+ Plug,Socket,Ledvance Smart+ Plug,Socket,Unknown,0,Link Status (0x08),
7,Moes Bulb,Bulb,Moes Bulb,Bulb,Unknown,0,Link Status (0x08),
8,Philips Lamp 2,Bulb,Philips Lamp 2,Bulb,Unknown,0,Link Status (0x08),
9,Philips Lamp 3,Motion,Unknown,Unknown,,0,,
10,Unknown,Unknown,Unknown,Unknown,,0,Ack,
11,Philips Lamp 1,Bulb,Philips Lamp 1,Bulb,Unknown,0,Link Status (0x08),
12,Philips Lamp 3,Motion,Unknown,Unknown,,0,,
13,Unknown,Unknown,Unknown,Unknown,,0,Ack,
14,Ledvance Z3 Plug,Socket,Ledvance Z3 Plug,Socket,Unknown,0,Link Status (0x08),
15,Philips Motion,Bulb,Philips Motion,Bulb,Unknown,0,Link Status (0x08),
16,Power Plug 1,Socket,Power Plug 1,Socket,Unknown,0,Link Status (0x08),
17,Smart Socket,Socket,Smart Socket,Socket,Unknown,0,Link Status (0x08),
18,Philips Lamp 3,Motion,Unknown,Unknown,,0,,
19,Unknown,Unknown,Unknown,Unknown,,0,Ack,
20,Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Unknown,0,Link Status (0x08),
21,Coordinator,Coordinator,Coordinator,Coordinator,Philips Motion,1,Off (0x00),"{'Sequence Number': '120', 'Command': 'Off (0x00)'}"
22,Coordinator,Coordinator,Coordinator,Coordinator,Philips Motion,1,Off (0x00),"{'Sequence Number': '120', 'Command': 'Off (0x00)'}"
23,Unknown,Unknown,Unknown,Unknown,,0,Ack,
24,Philips Motion,Bulb,Philips Motion,Bulb,Coordinator,0,Route Record (0x05),
25,Unknown,Unknown,Unknown,Unknown,,0,Ack,
26,Philips Motion,Bulb,Philips Motion,Bulb,Coordinator,0,Route Record (0x05),
27,Unknown,Unknown,Unknown,Unknown,,0,Ack,
28,Philips Motion,Bulb,Philips Motion,Bulb,Coordinator,0,Route Record (0x05),
29,Unknown,Unknown,Unknown,Unknown,,0,Ack,
30,Philips Motion,Bulb,Philips Motion,Bulb,Coordinator,0,Default Response (0x0b),"{'Sequence Number': '120', 'Command': 'Default Response (0x0b)', 'Response to Command': '0x00', 'Status': 'Success (0x00)'}"
31,Unknown,Unknown,Unknown,Unknown,,0,Ack,
